product_category_id,product_category,products
1298,Salami,"[
  16319813,
  75069,
  121621,
  2735531,
  2671273,
  208580,
  16349854,
  16349857,
  206319,
  80673,
  313212,
  21444225,
  161772,
  17568753,
  7633,
  75070,
  19281672,
  72210,
  18424831,
  3338888,
  211050,
  80671,
  120681,
  2362015,
  242531,
  3338891,
  80674,
  280950,
  3146113,
  16319812,
  19473855,
  16556746,
  3057611,
  3338889,
  2807668,
  526030,
  80672,
  150636,
  188109,
  83292,
  3081342,
  83293,
  7627,
  17465041,
  154461,
  161771
]"
3600,Shortbread Cookies,"[
  1853702
]"
1132,Cheese Sauces,"[
  77152,
  18850437
]"
822,Andouille Sausage,"[
  19290579,
  1292095,
  18581253,
  19290805
]"
936,Pepper,"[
  1922703,
  202489,
  3310243,
  2870667,
  303496,
  386925,
  3315880,
  288432,
  3220774,
  202679,
  202678
]"
1280,Prepared Deli Soups,"[
  2757123,
  464813,
  17024889,
  20664220,
  131478,
  19943524,
  37585,
  19930698,
  1710141,
  17896652,
  1333791,
  1333790
]"
1143,Hot Sauces,"[
  19330218,
  25337,
  16772768,
  16772769,
  71536,
  71558,
  18720514,
  41437,
  2003512,
  16772767,
  16772770,
  2722264,
  39835,
  2679711,
  16772766,
  17464234,
  18721397,
  41443,
  18561306,
  18625471
]"
268,Peach Juice,"[
  16999380
]"
80,Canadian Whiskey,"[
  1485990,
  3057107,
  17445246,
  16316382
]"
1743,Baby Snacks,"[
  20714854,
  3318413,
  3318342
]"
1412,Batteries,"[
  2578596,
  195441,
  262648,
  16411078,
  2186348,
  3030469,
  17284936,
  17315813,
  16410348,
  43759,
  154001,
  2186346,
  17174331,
  17767457,
  215926,
  215907,
  215924,
  3030406
]"
4338,Chest Rub,"[
  34542
]"
842,Vegetarian Deli Meat Substitutes,"[
  3197000,
  50175,
  26019
]"
830,Vienna Sausage,"[
  2199400
]"
4262,Other Dips and Spreads,"[
  19209428,
  131000,
  202276,
  19208986,
  2604573,
  3295100,
  71413,
  16532416,
  260861,
  170324,
  21511076
]"
299,Bottled Flavored Teas,"[
  19686074,
  19686081,
  20746564,
  97325,
  16720913,
  19648059,
  19652655,
  19686072
]"
1583,Body Soaps,"[
  19273637,
  21425884,
  2795648,
  41371,
  492125,
  41617,
  121345,
  137247,
  41268,
  2899607,
  136213,
  16879139,
  21167893,
  18790598,
  18451504,
  248184,
  2880393,
  41246,
  2899600,
  3164071,
  41393,
  19630563,
  137246,
  136208,
  330552,
  41453,
  3182347,
  3138441,
  16365911,
  35818,
  136209,
  136210
]"
3229,Asiago,"[
  20701778,
  3146074,
  20025373
]"
1003,Canned Pasta Meals,"[
  24322,
  16409142,
  43481,
  131587
]"
1757,Baby Vitamins,"[
  19879223,
  22349761,
  2696051
]"
252,Coffee Substitutes,"[
  19227830
]"
853,Corn Flour,"[
  20064118
]"
132,Petite Sirah,"[
  680
]"
982,Canned Kidney Beans,"[
  21727964,
  443295
]"
552,Snow Peas,"[
  20046537,
  17507509
]"
4349,Vitamin C Supplements,"[
  164207,
  85401,
  164175,
  275329,
  51322,
  3211787,
  2587661,
  17043239
]"
1315,Cupcakes,"[
  130651,
  280799,
  149127,
  16366234,
  149148,
  3196972,
  1508197,
  1852322,
  16951335,
  102368,
  3254875,
  3254874,
  2909430,
  102371,
  1909842
]"
